City_ID,City,Lat,Lng,Max Temp,Current Description,Rain inches (last 3 hrs),Snow inches (last 3 hrs),Humidity,Cloudiness,Wind Speed,Country,Date
0,Santiago De Chuco,-8.15,-78.18,49.73,broken clouds,0.0,0.0,36,76,1.21,PE,2020-04-24 03:08:36
1,Cape Town,-33.93,18.42,62.01,overcast clouds,0.0,0.0,87,99,4.7,ZA,2020-04-24 03:12:11
2,Galich,58.38,42.35,25.99,scattered clouds,0.0,0.0,90,44,6.02,RU,2020-04-24 03:12:21
3,Lorengau,-2.02,147.27,84.87,light rain,1.19,0.0,72,29,5.75,PG,2020-04-24 03:12:21
4,Hilo,19.73,-155.09,80.6,scattered clouds,0.0,0.0,57,40,9.17,US,2020-04-24 03:12:22
5,Sabinopolis,-18.67,-43.08,61.81,scattered clouds,0.0,0.0,77,26,1.48,BR,2020-04-24 03:12:22
6,Pudozh,61.81,36.53,26.31,broken clouds,0.0,0.0,95,54,3.71,RU,2020-04-24 03:12:23
7,Castro,-24.79,-50.01,53.15,clear sky,0.0,0.0,72,2,4.54,BR,2020-04-24 03:09:52
8,Sitka,57.05,-135.33,46.4,overcast clouds,0.0,0.0,75,90,9.17,US,2020-04-24 03:09:39
9,Gelemso,8.82,40.52,61.83,light rain,0.18,0.0,51,100,1.14,ET,2020-04-24 03:12:24
10,Rawlins,41.79,-107.24,42.01,light rain,0.0,0.0,65,75,9.17,US,2020-04-24 03:12:24
11,Bethel,41.37,-73.41,44.01,overcast clouds,0.0,0.0,48,90,3.36,US,2020-04-24 03:12:24
12,Leningradskiy,69.38,178.42,23.32,clear sky,0.0,0.0,93,0,4.5,RU,2020-04-24 03:12:25
13,Puerto Cabezas,14.04,-83.39,77.94,overcast clouds,0.0,0.0,86,90,6.42,NI,2020-04-24 03:12:25
14,Bluff,-46.6,168.33,60.01,overcast clouds,0.0,0.0,63,90,8.99,NZ,2020-04-24 03:12:25
15,Ponta Do Sol,32.67,-17.1,60.8,few clouds,0.0,0.0,63,20,9.17,PT,2020-04-24 03:12:25
16,Tuburan,6.64,122.27,84.2,scattered clouds,0.0,0.0,83,40,3.36,PH,2020-04-24 03:12:26
17,Jalu,29.03,21.55,63.09,clear sky,0.0,0.0,79,0,21.9,LY,2020-04-24 03:12:26
18,Ushuaia,-54.8,-68.3,39.2,scattered clouds,0.0,0.0,80,40,27.51,AR,2020-04-24 03:08:44
19,Otane,-39.88,176.63,66.0,clear sky,0.0,0.0,62,10,5.99,NZ,2020-04-24 03:12:26
20,Chuy,-33.7,-53.46,65.21,scattered clouds,0.0,0.0,91,36,11.7,UY,2020-04-24 03:12:27
21,Busselton,-33.65,115.33,69.01,light rain,0.23,0.0,52,26,12.44,AU,2020-04-24 03:12:27
22,Salinopolis,-0.61,-47.36,79.14,light rain,2.52,0.0,82,98,2.28,BR,2020-04-24 03:12:27
23,Vardo,70.37,31.11,26.6,shower rain,0.0,0.0,73,75,13.87,NO,2020-04-24 03:10:19
24,Vaini,-21.2,-175.2,80.6,broken clouds,0.0,0.0,88,75,10.29,TO,2020-04-24 03:12:28
25,Peniche,39.36,-9.38,57.0,overcast clouds,0.0,0.0,88,95,5.99,PT,2020-04-24 03:12:28
26,Lagoa,39.05,-27.98,59.49,overcast clouds,0.0,0.0,82,100,7.2,PT,2020-04-24 03:12:28
27,Krasnoselkup,65.7,82.47,41.95,overcast clouds,0.0,0.0,81,99,17.58,RU,2020-04-24 03:12:28
28,Hamilton,39.18,-84.53,55.0,overcast clouds,0.0,0.0,93,90,5.57,US,2020-04-24 03:12:29
29,Bambous Virieux,-20.34,57.76,75.99,light rain,0.27,0.0,89,37,7.0,MU,2020-04-24 03:11:01
30,Arraial Do Cabo,-22.97,-42.03,74.1,few clouds,0.0,0.0,68,14,6.6,BR,2020-04-24 03:12:29
31,Touros,-5.2,-35.46,77.0,scattered clouds,0.0,0.0,94,40,3.36,BR,2020-04-24 03:12:29
32,Rikitea,-23.12,-134.97,76.01,few clouds,0.0,0.0,77,24,12.17,PF,2020-04-24 03:12:29
33,Souillac,-20.52,57.52,75.99,light rain,0.41,0.0,89,66,7.0,MU,2020-04-24 03:12:30
34,Cidreira,-30.18,-50.21,68.59,clear sky,0.0,0.0,83,0,16.24,BR,2020-04-24 03:12:30
35,Hobart,-42.88,147.33,63.0,broken clouds,0.0,0.0,42,75,17.22,AU,2020-04-24 03:09:35
36,Kuusamo,65.97,29.18,19.4,clear sky,0.0,0.0,67,5,6.93,FI,2020-04-24 03:12:30
37,Dikson,73.51,80.55,34.0,overcast clouds,0.0,0.0,92,100,19.86,RU,2020-04-24 03:12:30
38,Upernavik,72.79,-56.15,24.8,clear sky,0.0,0.0,97,3,7.78,GL,2020-04-24 03:09:33
39,Thompson,55.74,-97.86,37.4,overcast clouds,0.0,0.0,74,90,4.7,CA,2020-04-24 03:09:45
40,Cherskiy,68.75,161.3,31.98,overcast clouds,0.0,0.0,97,100,6.6,RU,2020-04-24 03:12:31
41,Port Alfred,-33.59,26.89,63.0,overcast clouds,0.0,0.0,95,100,1.99,ZA,2020-04-24 03:12:31
42,Baruun-Urt,46.68,113.28,48.88,broken clouds,0.0,0.0,29,61,24.34,MN,2020-04-24 03:12:31
43,Kharp,66.8,65.81,19.35,overcast clouds,0.0,0.0,93,100,9.51,RU,2020-04-24 03:12:32
44,Floro,61.6,5.03,44.6,broken clouds,0.0,0.0,70,55,14.99,NO,2020-04-24 03:12:32
45,Port Elizabeth,-33.92,25.57,59.0,broken clouds,0.0,0.0,93,75,2.24,ZA,2020-04-24 03:12:32
46,Fukue,32.69,128.84,55.4,few clouds,0.0,0.0,47,20,14.99,JP,2020-04-24 03:12:32
47,Punta Arenas,-53.15,-70.92,37.4,scattered clouds,0.0,0.0,69,40,8.05,CL,2020-04-24 03:11:19
48,Jamestown,42.1,-79.24,50.0,scattered clouds,0.0,0.0,61,40,4.7,US,2020-04-24 03:12:33
49,Kodiak,57.79,-152.41,42.8,moderate rain,0.0,0.0,87,90,13.87,US,2020-04-24 03:12:33
50,New Norfolk,-42.78,147.06,63.0,overcast clouds,0.0,0.0,66,99,8.99,AU,2020-04-24 03:10:17
51,Hithadhoo,-0.6,73.08,84.11,overcast clouds,0.0,0.0,73,100,8.61,MV,2020-04-24 03:12:34
52,Qaanaaq,77.48,-69.36,10.99,broken clouds,0.0,0.0,90,58,3.18,GL,2020-04-24 03:12:34
53,Makali,8.63,-11.67,69.96,moderate rain,3.08,0.0,88,100,4.97,SL,2020-04-24 03:12:34
54,Yarmouth,41.71,-70.23,46.4,overcast clouds,0.0,0.0,65,90,9.17,US,2020-04-24 03:12:35
55,Khani,41.96,42.96,44.6,broken clouds,0.0,0.0,100,75,2.24,GE,2020-04-24 03:12:35
56,Florida,28.75,-82.5,79.0,broken clouds,0.0,0.0,78,75,11.23,US,2020-04-24 03:12:35
57,Atar,20.52,-13.05,65.89,clear sky,0.0,0.0,36,0,5.84,MR,2020-04-24 03:12:35
58,Geraldton,-28.77,114.6,73.4,scattered clouds,0.0,0.0,56,40,16.11,AU,2020-04-24 03:12:36
59,Oudtshoorn,-33.59,22.2,59.0,few clouds,0.0,0.0,93,20,2.24,ZA,2020-04-24 03:12:36
60,Constitucion,-35.33,-72.42,57.42,moderate rain,5.02,0.0,83,100,18.14,CL,2020-04-24 03:12:36
61,Pingliang,35.54,106.69,56.59,clear sky,0.0,0.0,17,0,0.76,CN,2020-04-24 03:12:37
62,Naze,28.37,129.48,64.4,broken clouds,0.0,0.0,48,75,11.41,JP,2020-04-24 03:12:37
63,Nikolskoye,59.7,30.79,35.6,overcast clouds,0.0,0.0,80,100,4.47,RU,2020-04-24 03:12:37
64,Narsaq,60.92,-46.05,35.6,overcast clouds,0.0,0.0,80,98,1.12,GL,2020-04-24 03:12:37
65,Santa Maria,-29.68,-53.81,65.66,clear sky,0.0,0.0,64,1,6.53,BR,2020-04-24 03:12:38
66,Hermanus,-34.42,19.23,60.01,broken clouds,0.0,0.0,81,78,9.53,ZA,2020-04-24 03:12:20
67,Serik,36.92,31.1,60.8,broken clouds,0.0,0.0,82,75,1.12,TR,2020-04-24 03:12:39
68,San Policarpo,12.18,125.51,83.71,light rain,0.16,0.0,75,100,10.54,PH,2020-04-24 03:12:39
69,Barreiras,-12.15,-44.99,70.48,overcast clouds,0.0,0.0,79,97,1.54,BR,2020-04-24 03:12:40
70,Korla,41.76,86.15,68.16,clear sky,0.0,0.0,14,0,7.54,CN,2020-04-24 03:12:40
71,Georgetown,5.41,100.34,86.0,few clouds,0.0,0.0,78,20,4.7,MY,2020-04-24 03:12:40
72,Yellowknife,62.46,-114.35,26.6,broken clouds,0.0,0.0,63,75,5.82,CA,2020-04-24 03:07:55
73,Aklavik,68.22,-135.01,5.0,scattered clouds,0.0,0.0,54,40,10.29,CA,2020-04-24 03:12:41
74,Sao Filipe,14.9,-24.5,70.38,overcast clouds,0.0,0.0,75,96,16.08,CV,2020-04-24 03:10:09
75,Atuona,-9.8,-139.03,82.09,clear sky,0.0,0.0,69,0,13.13,PF,2020-04-24 03:12:41
76,Port Macquarie,-31.43,152.92,80.01,clear sky,0.0,0.0,42,0,3.0,AU,2020-04-24 03:12:41
77,Saint-Pierre,-21.34,55.48,73.4,few clouds,0.0,0.0,78,20,5.82,RE,2020-04-24 03:12:42
78,Ponta Delgada,37.73,-25.67,60.8,few clouds,0.0,0.0,77,20,6.93,PT,2020-04-24 03:12:42
79,Znamenskoye,57.13,73.83,47.66,overcast clouds,0.0,0.0,52,99,10.31,RU,2020-04-24 03:12:42
80,Faanui,-16.48,-151.75,80.74,clear sky,0.0,0.0,70,8,16.15,PF,2020-04-24 03:10:18
81,Ngunguru,-35.62,174.5,70.0,clear sky,0.0,0.0,61,4,10.0,NZ,2020-04-24 03:12:43
82,Ribeira Grande,38.52,-28.7,59.74,overcast clouds,0.0,0.0,76,94,6.02,PT,2020-04-24 03:12:43
83,Vila Velha,-20.33,-40.29,72.0,clear sky,0.0,0.0,94,1,3.36,BR,2020-04-24 03:12:43
84,Cabo San Lucas,22.89,-109.91,77.0,clear sky,0.0,0.0,36,5,11.41,MX,2020-04-24 03:08:16
85,Nurota,40.56,65.69,68.0,overcast clouds,0.0,0.0,60,100,6.93,UZ,2020-04-24 03:12:46
86,Kavieng,-2.57,150.8,84.34,light rain,1.0,0.0,68,58,2.91,PG,2020-04-24 03:12:46
87,Grado,43.39,-6.07,57.2,overcast clouds,0.0,0.0,93,90,1.12,ES,2020-04-24 03:12:46
88,Avarua,-21.21,-159.78,82.4,broken clouds,0.0,0.0,74,75,8.05,CK,2020-04-24 03:09:51
89,Waipawa,-41.41,175.52,66.2,clear sky,0.0,0.0,55,0,12.75,NZ,2020-04-24 03:12:48
90,Yubari,43.04,141.96,50.0,broken clouds,0.0,0.0,45,75,17.22,JP,2020-04-24 03:12:48
91,Tongliao,43.61,122.27,58.06,overcast clouds,0.0,0.0,31,97,14.54,CN,2020-04-24 03:12:48
92,Pochutla,15.74,-96.47,80.74,clear sky,0.0,0.0,66,6,8.68,MX,2020-04-24 03:12:48
93,Albany,42.6,-73.97,44.6,broken clouds,0.0,0.0,45,75,6.93,US,2020-04-24 03:12:48
94,Mataura,-46.19,168.86,60.01,broken clouds,0.0,0.0,63,73,8.99,NZ,2020-04-24 03:12:49
95,Saint-Philippe,-21.36,55.77,73.4,few clouds,0.0,0.0,78,20,5.82,RE,2020-04-24 03:12:49
96,Tortel,47.12,19.94,41.0,few clouds,0.0,0.0,86,11,2.13,HU,2020-04-24 03:12:49
97,Gamba,-2.65,10.0,78.15,overcast clouds,0.0,0.0,90,88,3.29,GA,2020-04-24 03:12:49
98,Codrington,-38.27,141.97,60.42,overcast clouds,0.0,0.0,69,93,14.45,AU,2020-04-24 03:10:56
99,Kudahuvadhoo,2.67,72.89,82.89,moderate rain,3.36,0.0,71,100,1.03,MV,2020-04-24 03:12:50
100,Sechura,-5.56,-80.82,71.37,clear sky,0.0,0.0,75,0,11.83,PE,2020-04-24 03:12:50
101,Puerto Ayora,-0.74,-90.35,79.0,overcast clouds,0.0,0.0,84,94,5.01,EC,2020-04-24 03:12:50
102,Talpa,28.83,-111.63,82.99,clear sky,0.0,0.0,22,0,3.0,MX,2020-04-24 03:12:51
103,Kapaa,22.08,-159.32,80.6,scattered clouds,0.0,0.0,69,40,11.41,US,2020-04-24 03:12:51
104,Lata,40.16,-8.33,55.99,overcast clouds,0.0,0.0,94,90,2.73,PT,2020-04-24 03:12:51
105,Ambulu,-8.35,113.61,85.35,overcast clouds,0.0,0.0,63,100,4.76,ID,2020-04-24 03:12:51
106,Klaksvik,62.23,-6.59,39.2,overcast clouds,0.0,0.0,93,100,1.12,FO,2020-04-24 03:12:51
107,Tecoanapa,16.52,-98.75,77.63,few clouds,0.0,0.0,81,24,7.31,MX,2020-04-24 03:12:52
108,Kulhudhuffushi,6.62,73.07,85.39,overcast clouds,0.0,0.0,72,99,7.92,MV,2020-04-24 03:12:52
109,Hofn,64.25,-15.21,38.95,overcast clouds,0.0,0.0,76,99,1.57,IS,2020-04-24 03:12:52
110,Torfyanoy,58.49,49.2,26.78,overcast clouds,0.0,0.0,92,100,7.05,RU,2020-04-24 03:12:52
111,Vanimo,-2.67,141.3,84.07,light rain,2.78,0.0,72,97,1.01,PG,2020-04-24 03:12:53
112,Kaniama,-7.57,24.18,63.3,broken clouds,0.0,0.0,70,73,3.53,CD,2020-04-24 03:12:53
113,Aguas Formosas,-17.08,-40.94,65.55,overcast clouds,0.0,0.0,85,97,0.92,BR,2020-04-24 03:12:53
114,Talavera De La Reina,39.96,-4.83,55.54,overcast clouds,0.0,0.0,67,100,6.62,ES,2020-04-24 03:08:57
115,Salalah,17.02,54.09,82.4,few clouds,0.0,0.0,83,20,3.36,OM,2020-04-24 03:12:54
116,Barrow,71.29,-156.79,21.2,overcast clouds,0.0,0.0,92,90,4.7,US,2020-04-24 03:12:55
117,Olga,43.74,135.29,42.87,overcast clouds,0.0,0.0,63,99,8.03,RU,2020-04-24 03:12:56
118,Hami,42.8,93.45,68.07,clear sky,0.0,0.0,11,0,7.07,CN,2020-04-24 03:10:59
119,Flinders,-34.58,150.86,82.0,clear sky,0.0,0.0,42,0,1.99,AU,2020-04-24 03:11:37
120,Isangel,-19.55,169.27,80.6,broken clouds,0.0,0.0,78,75,6.93,VU,2020-04-24 03:10:13
121,Kargasok,59.06,80.86,52.0,overcast clouds,0.0,0.0,46,100,17.13,RU,2020-04-24 03:13:03
122,Athabasca,54.72,-113.29,44.89,light rain,0.72,0.0,62,77,3.71,CA,2020-04-24 03:12:05
123,Tuktoyaktuk,69.45,-133.04,-0.4,few clouds,0.0,0.0,70,20,9.17,CA,2020-04-24 03:13:04
124,Scottsbluff,41.87,-103.67,50.0,light rain,0.0,0.0,81,90,4.7,US,2020-04-24 03:13:04
125,Te Anau,-45.42,167.72,53.96,overcast clouds,0.0,0.0,60,98,8.72,NZ,2020-04-24 03:10:43
126,Maciel,-32.46,-60.89,77.0,overcast clouds,0.0,0.0,64,100,9.17,AR,2020-04-24 03:13:05
127,Bonavista,48.65,-53.11,32.0,scattered clouds,0.0,0.0,88,30,8.01,CA,2020-04-24 03:13:05
128,Laguna De Duero,41.58,-4.72,54.0,overcast clouds,0.0,0.0,93,94,5.82,ES,2020-04-24 03:13:05
129,Malia,35.28,25.47,57.0,broken clouds,0.0,0.0,87,75,13.87,GR,2020-04-24 03:13:05
130,Lavrentiya,65.58,-171.0,30.04,few clouds,0.0,0.0,94,14,8.59,RU,2020-04-24 03:13:06
131,College,64.86,-147.8,43.0,broken clouds,0.0,0.0,38,75,6.93,US,2020-04-24 03:13:06
132,Bredasdorp,-34.53,20.04,46.4,overcast clouds,0.0,0.0,93,96,2.86,ZA,2020-04-24 03:13:06
133,Matay,28.42,30.78,73.92,clear sky,0.0,0.0,20,3,14.2,EG,2020-04-24 03:13:07
134,Kaitangata,-46.28,169.85,57.63,overcast clouds,0.0,0.0,61,91,6.71,NZ,2020-04-24 03:13:07
135,Fairbanks,64.84,-147.72,43.0,clear sky,0.0,0.0,38,1,5.82,US,2020-04-24 03:13:07
136,Katete,-0.78,29.75,61.11,scattered clouds,0.0,0.0,63,32,3.18,UG,2020-04-24 03:13:07
137,Cascais,38.7,-9.42,57.0,broken clouds,0.0,0.0,87,66,9.17,PT,2020-04-24 03:13:08
138,Tasiilaq,65.61,-37.64,37.4,scattered clouds,0.0,0.0,95,28,2.24,GL,2020-04-24 03:09:38
139,Irbil,36.19,44.01,59.0,light rain,0.19,0.0,100,6,3.36,IQ,2020-04-24 03:13:08
140,Chicama,-7.84,-79.15,71.53,clear sky,0.0,0.0,67,10,5.19,PE,2020-04-24 03:13:08
141,Santa Marta,11.24,-74.2,81.0,scattered clouds,0.0,0.0,82,42,14.72,CO,2020-04-24 03:10:56
142,San Rafael,-34.62,-68.33,68.5,clear sky,0.0,0.0,41,0,4.16,AR,2020-04-24 03:08:42
143,Mar Del Plata,-38.0,-57.56,63.0,broken clouds,0.0,0.0,93,75,9.17,AR,2020-04-24 03:08:22
144,Sayville,40.74,-73.08,46.4,light rain,0.0,0.0,70,90,3.36,US,2020-04-24 03:13:09
145,Picsi,-6.72,-79.77,71.53,scattered clouds,0.0,0.0,68,31,7.58,PE,2020-04-24 03:13:10
146,Yudong,29.39,106.52,61.0,scattered clouds,0.0,0.0,76,40,2.24,CN,2020-04-24 03:13:10
147,Keti Bandar,24.14,67.45,83.52,few clouds,0.0,0.0,64,23,19.33,PK,2020-04-24 03:13:10
148,Lakatoro,-16.1,167.42,82.4,overcast clouds,0.0,0.0,74,90,11.79,VU,2020-04-24 03:13:10
149,Norman Wells,65.28,-126.83,17.6,overcast clouds,0.0,0.0,61,90,17.22,CA,2020-04-24 03:13:10
150,Coquimbo,-29.95,-71.34,62.6,overcast clouds,0.0,0.0,72,90,2.24,CL,2020-04-24 03:13:11
151,Mayna,54.11,47.62,26.91,light snow,0.0,0.32,93,53,5.14,RU,2020-04-24 03:13:11
152,Nanortalik,60.14,-45.24,37.89,overcast clouds,0.0,0.0,77,100,19.55,GL,2020-04-24 03:13:11
153,Hondo,32.45,130.2,59.0,few clouds,0.0,0.0,35,20,17.22,JP,2020-04-24 03:13:11
154,Saskylakh,71.92,114.08,25.92,overcast clouds,0.0,0.0,97,100,11.59,RU,2020-04-24 03:09:37
155,Kamaishi,39.27,141.88,48.2,light intensity shower rain,0.0,0.0,61,75,4.7,JP,2020-04-24 03:13:12
156,Rovaniemi,66.5,25.72,23.0,broken clouds,0.0,0.0,73,75,8.05,FI,2020-04-24 03:08:49
157,Plettenberg Bay,-34.05,23.37,60.85,overcast clouds,0.0,0.0,80,100,3.13,ZA,2020-04-24 03:13:12
158,Kendari,-3.94,122.5,81.32,light rain,2.28,0.0,85,100,2.59,ID,2020-04-24 03:13:13
159,Ornskoldsvik,63.29,18.72,37.4,clear sky,0.0,0.0,74,0,8.05,SE,2020-04-24 03:13:13
160,Arlit,18.74,7.39,87.49,clear sky,0.0,0.0,11,0,9.1,NE,2020-04-24 03:13:13
161,Saint George,37.1,-113.58,75.2,clear sky,0.0,0.0,25,1,5.82,US,2020-04-24 03:12:24
162,Katsuura,35.13,140.3,59.0,broken clouds,0.0,0.0,68,75,3.36,JP,2020-04-24 03:13:14
163,Miri,4.41,114.01,82.4,broken clouds,0.0,0.0,88,75,4.7,MY,2020-04-24 03:13:15
164,Lebu,-37.62,-73.65,55.4,light rain,2.24,0.0,88,100,15.05,CL,2020-04-24 03:13:15
165,Shelburne,44.08,-80.2,41.0,overcast clouds,0.0,0.0,27,90,8.05,CA,2020-04-24 03:13:15
166,Aqtobe,50.28,57.21,33.8,few clouds,0.0,0.0,86,11,8.95,KZ,2020-04-24 03:13:16
167,Longyearbyen,78.22,15.64,15.8,clear sky,0.0,0.0,61,0,3.36,SJ,2020-04-24 03:13:16
168,Fortuna Foothills,32.66,-114.41,93.2,clear sky,0.0,0.0,18,1,5.82,US,2020-04-24 03:13:16
169,Ancud,-41.87,-73.82,52.0,broken clouds,0.0,0.0,100,75,9.17,CL,2020-04-24 03:13:17
170,Yumen,40.28,97.2,55.8,clear sky,0.0,0.0,13,0,8.77,CN,2020-04-24 03:13:17
171,Port Blair,11.67,92.75,84.34,overcast clouds,0.0,0.0,71,100,6.15,IN,2020-04-24 03:13:17
172,Severo-Kurilsk,50.68,156.12,33.73,light snow,0.0,0.32,92,100,7.43,RU,2020-04-24 03:13:19
173,Manuk Mangkaw,4.8,119.85,84.76,light rain,1.1,0.0,70,60,3.09,PH,2020-04-24 03:13:19
174,Chumikan,54.72,135.31,33.08,light snow,0.0,0.42,92,100,3.44,RU,2020-04-24 03:13:20
175,San Carlos De Bariloche,-41.15,-71.31,50.0,broken clouds,0.0,0.0,71,75,14.99,AR,2020-04-24 03:13:20
176,Doka,13.52,35.77,74.1,broken clouds,0.0,0.0,16,62,1.72,SD,2020-04-24 03:13:21
177,Butaritari,3.07,172.79,83.7,light rain,2.36,0.0,76,100,15.52,KI,2020-04-24 03:13:21
178,Kamenka,51.32,42.77,39.0,broken clouds,0.0,0.0,59,75,1.01,RU,2020-04-24 03:13:21
